brand,description,price_usd,type
MOTHER,+ NET SUSTAIN The Curbside Cargo Flood high-rise tapered jeans,290,clothing
FAITHFULL THE BRAND,+ NET SUSTAIN Santiana open-back LENZING ECOVERO-satin maxi dress,299,clothing
AGOLDE,'90s Pinch Waist Long high-rise straight-leg jeans,220,clothing
FAITHFULL THE BRAND,+ NET SUSTAIN Lui linen mini dress,209,clothing
ERES,Nuance printed swimsuit,590,clothing
ISABEL MARANT,Rimma twist-front jersey turtleneck maxi dress,1790,clothing
THE ROW,Elmira cashmere sweater,1190,clothing
FALKE ERGONOMIC SPORT SYSTEM,Dégradé knitted sweater,300,clothing
KHAITE,Diletta striped cashmere sweater,1100,clothing
LOEWE,Anagram poplin-paneled embroidered ribbed stretch-cotton jersey tank,400,clothing
ZIMMERMANN,+ NET SUSTAIN August guipure lace-trimmed gathered linen mini dress,895,clothing
THE ROW,Dhanila double-breasted wool coat,4350,clothing
OSCAR DE LA RENTA,Belted floral-print stretch cotton-poplin maxi dress,3490,clothing
ALAÏA,Archetypes embroidered cotton-jersey T-shirt,500,clothing
16ARLINGTON,Billie feather-trimmed twill midi dress,1315,clothing
GABRIELA HEARST,Fontana double-breasted leather trench coat,14000,clothing
ZIMMERMANN,+ NET SUSTAIN August floral-print organic silk blouse,595,clothing
DOLCE & GABBANA,Pleated printed cotton-poplin maxi dress,2495,clothing
CLIO PEPPIATT,Brooch strapless crystal-embellished crepe maxi dress,2965,clothing
PAIGE,Sasha high-rise straight-leg jeans,260,clothing
KHAITE,Danielle high-rise slim-leg jeans,480,clothing
YVES SALOMON,Belted shearling coat,4435,clothing
FALKE ERGONOMIC SPORT SYSTEM,Maximum Warm stretch-jersey turtleneck top,122,clothing
BURBERRY,Appliquéd belted checked cotton-gabardine trench coat,3650,clothing
ZIMMERMANN,Junie gathered embellished floral-print ramie blouse,695,clothing
LANVIN,One-shoulder ruffled plissé-crepe de chine gown,3990,clothing
LOEWE,Anagram embroidered ribbed cotton-jersey midi dress,990,clothing
ALESSANDRA RICH,Embellished ruffled cropped wool-crepe jacket,1580,clothing
THE ROW,Halm grain de poudre wool blazer,3490,clothing
FALKE ERGONOMIC SPORT SYSTEM,Cashmere straight-leg pants,450,clothing
WE NORWEGIANS,Setesdal merino wool and cashmere-blend turtleneck sweater,529,clothing
THE ROW,Rhea draped wool-blend crepe gown,2950,clothing
MOTHER,+ NET SUSTAIN The Rambler cropped faux leather wide-leg pants,240,clothing
ISABEL MARANT,Peagan double-breasted satin-trimmed wool blazer,1390,clothing
FRAME,Ribbed stretch-modal top,180,clothing
AGOLDE,'90s Pinch Waist high-rise straight-leg organic jeans,190,clothing
MUGLER,Chenille turtleneck mini dress,1880,clothing
FRAME,Crushed-velvet mini dress,550,clothing
BRUNELLO CUCINELLI,Herringbone wool and alpaca-blend blazer,5795,clothing
ANDREW GN,Embellished crepe maxi dress,3405,clothing
ZIMMERMANN,+ NET SUSTAIN Alight floral-print linen skirt,595,clothing
VALENTINO GARAVANI,Cutout paneled wool and silk-blend crepe mini dress,5800,clothing
VERONICA BEARD,Coralee lace-trimmed cotton-jersey blouse,260,clothing
BRUNELLO CUCINELLI,Sequin-embellished cable-knit cashmere turtleneck sweater,5900,clothing
ETRO,Belted ruffled floral-print metallic silk crepe de chine mini dress,2650,clothing
LORO PIANA,Mellark leather-trimmed linen jacket,6850,clothing
MONCLER GRENOBLE,Plantrey hooded belted faux fur-trimmed quilted shell down jacket,2325,clothing
OSCAR DE LA RENTA,Cape-effect crystal-embellished tulle-trimmed silk-blend lamé gown,6990,clothing
NILI LOTAN,Omaira wool turtleneck sweater,585,clothing
THE ROW,Diomede wool-blend twill blazer,3490,clothing
ALLUDE,+ NET SUSTAIN Wool and cashmere-blend cardigan,485,clothing
MONCLER GRENOBLE,Quilted ripstop down vest,815,clothing
ALEX PERRY,Strapless velvet midi dress,1800,clothing
HUISHAN ZHANG,Beau feather and grosgrain-trimmed silk-organza gown,4195,clothing
FAITHFULL THE BRAND,+ NET SUSTAIN Dominquez smocked organic cotton-poplin midi dress,199,clothing
JENNY PACKHAM,Bright Gem embellished sequined tulle gown,3625,clothing
JACQUEMUS,La Saudade Brodée asymmetric draped lace-trimmed satin mini dress,1045,clothing
FRAME,Double-breasted cotton-blend velvet blazer,850,clothing
BRUNELLO CUCINELLI,"Sequin-embellished wool, cashmere and silk-blend sweater",4700,clothing
FRAME,+ NET SUSTAIN The Bardot Jetset high-rise flared organic jeans,260,clothing
MOTHER,+ NET SUSTAIN The Hustler Roller Sneak high-rise wide-leg jeans,270,clothing
LORO PIANA,Waipara ribbed-knit turtleneck cashmere cape,5075,clothing
ZIMMERMANN,Raie Lantern belted floral-print ramie mini dress,795,clothing
